EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,Province/Territory,EVENT START DATE,FATALITIES,INJURED/INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY/PEOPLE AFFECTED,MAGNITUDE,provinces_level,event_id,event_duration,avg_year_of_event,closest_year,population,total_event_population,prop_pop_weight,proportional_FATALITIES,proportional_INJURED/INFECTED,proportional_EVACUATED,proportional_ESTIMATED TOTAL COST,proportional_NORMALIZED TOTAL COST,proportional_FEDERAL DFAA PAYMENTS,proportional_PROVINCIAL DFAA PAYMENTS,proportional_PROVINCIAL DEPARTMENT PAYMENTS,proportional_MUNICIPAL COSTS,proportional_OGD COSTS,proportional_INSURANCE PAYMENTS,proportional_NGO PAYMENTS,proportional_UTILITY/PEOPLE AFFECTED
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,New Brunswick,NB,2014-07-05 00:00:00,0.0,0.0,0.0,12500000.0,0.0,,0.0,12500000.0,0.0,0.0,0.0,0.0,420000.0,0.0,0.0,single,0,0,2014,2011,751171,751171.0,1.0,0.0,0.0,0.0,12500000.0,0.0,0.0,12500000.0,0.0,0.0,0.0,0.0,420000.0,0.0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Manitoba,MB,2014-06-25 00:00:00,0.0,0.0,560.0,1000000000.0,0.0,,0.0,0.0,0.0,0.0,1000000000.0,0.0,0.0,0.0,0.0,single,1,7,2014,2011,1208268,1208268.0,1.0,0.0,0.0,560.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,AB,2014-06-15 00:00:00,0.0,0.0,500.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,2,7,2014,2011,3645257,3645257.0,1.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Wildfire,British Columbia,BC,2014-06-01 00:00:00,0.0,0.0,4500.0,300000000.0,0.0,2014-09-30 00:00:00,0.0,0.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,single,3,121,2014,2011,4400057,4400057.0,1.0,0.0,0.0,4500.0,300000000.0,0.0,0.0,0.0,300000000.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Northwest Territories,NT,2014-06-01 00:00:00,0.0,0.0,100.0,55000000.0,0.0,2014-09-18 00:00:00,0.0,0.0,55000000.0,0.0,0.0,0.0,0.0,0.0,0.0,single,4,109,2014,2011,41462,41462.0,1.0,0.0,0.0,100.0,55000000.0,0.0,0.0,0.0,55000000.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Flood,New Brunswick,NB,2014-04-14 00:00:00,0.0,0.0,1495.0,16000000.0,0.0,,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,5,7,2014,2011,751171,751171.0,1.0,0.0,0.0,1495.0,16000000.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec,QC,2014-04-14 00:00:00,0.0,0.0,1000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,6,7,2014,2011,7903001,7903001.0,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,New Brunswick,NB,2013-12-22 00:00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,7,3,2013,2011,751171,751171.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Québec,QC,2013-12-21 00:00:00,6.0,0.0,0.0,0.0,0.0,2013-12-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153000.0,0.0,single,8,5,2013,2011,7903001,7903001.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153000.0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southern Ontario,ON,2013-12-21 00:00:00,2.0,25.0,0.0,164200000.0,0.0,,0.0,4200000.0,160000000.0,0.0,0.0,0.0,2490000.0,0.0,0.0,single,9,3,2013,2011,12851821,12851821.0,1.0,2.0,25.0,0.0,164200000.0,0.0,0.0,4200000.0,160000000.0,0.0,0.0,0.0,2490000.0,0.0
Disaster,Natural,Meteorological - Hydrological,Flood,"Toronto, Ontario",ON,2013-07-08 00:00:00,0.0,0.0,0.0,940000000.0,0.0,2013-07-08 00:00:00,0.0,0.0,0.0,0.0,0.0,940000000.0,0.0,300000.0,0.0,single,10,0,2013,2011,12851821,12851821.0,1.0,0.0,0.0,0.0,940000000.0,0.0,0.0,0.0,0.0,0.0,0.0,940000000.0,0.0,300000.0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,AB,2013-06-19 00:00:00,4.0,0.0,100000.0,2200000000.0,0.0,2013-06-28 00:00:00,500000000.0,0.0,0.0,0.0,0.0,1700000000.0,0.0,0.0,0.0,single,11,9,2013,2011,3645257,3645257.0,1.0,4.0,0.0,100000.0,2200000000.0,0.0,500000000.0,0.0,0.0,0.0,0.0,1700000000.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southeast British Columbia,BC,2013-06-19 00:00:00,0.0,0.0,200.0,0.0,0.0,2013-06-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,12,2,2013,2011,4400057,4400057.0,1.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Flood,"Kasabonika Lake First Nation, Ontario",ON,2013-05-27 00:00:00,0.0,0.0,150.0,0.0,0.0,2013-05-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,13,4,2013,2011,12851821,12851821.0,1.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Flood,"Cumberland House, SK",SK,2013-04-29 00:00:00,0.0,0.0,3000.0,20000000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,14,7,2013,2011,1053960,1053960.0,1.0,0.0,0.0,3000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Vita, Manitoba",MB,2012-10-02 00:00:00,0.0,0.0,200.0,0.0,0.0,2012-10-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,15,1,2012,2011,1208268,1208268.0,1.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Lethbridge and Coalhurst, Alberta",AB,2012-09-01 00:00:00,0.0,0.0,2500.0,0.0,0.0,2012-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,16,10,2012,2011,3645257,3645257.0,1.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
