EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,Province/Territory,EVENT START DATE,FATALITIES,INJURED/INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY/PEOPLE AFFECTED,MAGNITUDE,provinces_level,event_id,event_duration,avg_year_of_event,closest_year,population,total_event_population,prop_pop_weight,percentage_fatalities,percentage_injured/infected,percentage_evacuated,proportional_normalized_cost,percentage_utility/people affected,norm_percentage_fatalities,norm_percentage_injured/infected,norm_percentage_evacuated,norm_percentage_utility/people affected,human_cost_comp_score,country,abrev,year,govt_spending_percent_gdp,num_provinces_involved
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB,1902-03-01 00:00:00,2.0,0.0,0.0,0.0,0.0,1902-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,809,0,1902,1901,331120,331120.0,1.0,0.0006040106305870983,0.0,0.0,0.0,0.0,0.0010938195216235805,0.0,0.0,0.0,0.0010938195216235805,Canada,CAN,1900,0.0,1
Disaster,Natural,Geological,Landslide,Frank AB,AB,1903-04-29 00:00:00,70.0,23.0,0.0,0.0,0.0,1903-04-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,807,0,1903,1901,73022,73022.0,1.0,0.09586152118539618,0.031497356960915886,0.0,0.0,0.0,0.17359827449261866,0.0014259858261893674,0.0,0.0,0.17502426031880802,Canada,CAN,1900,0.0,1
Disaster,Natural,Meteorological - Hydrological,Flood,Red River MB,MB,1904-04-24 00:00:00,0.0,0.0,0.0,0.0,0.0,1904-04-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,806,0,1904,1901,255211,255211.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,CAN,1900,0.0,1
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Nova Scotia,NS,1905-02-15 00:00:00,0.0,0.0,0.0,0.0,0.0,1905-02-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,805,2,1905,1901,459574,459574.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,CAN,1900,0.0,1
Disaster,Natural,Geological,Landslide,Spences Bridge BC,BC,1905-08-13 00:00:00,15.0,0.0,0.0,0.0,0.0,1905-08-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,804,0,1905,1901,178657,178657.0,1.0,0.008395976647990284,0.0,0.0,0.0,0.0,0.015204505840801092,0.0,0.0,0.0,0.015204505840801092,Canada,CAN,1900,0.0,1
Disaster,Natural,Geological,Landslide,Upper Arrow Lake BC,BC,1903-02-28 00:00:00,0.0,0.0,0.0,0.0,0.0,1903-02-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,808,0,1903,1901,178657,178657.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,CAN,1900,0.0,1
Disaster,Natural,Geological,Landslide,Notre-Dame-de-la-Salette QC,QC,1908-04-26 00:00:00,33.0,0.0,0.0,0.0,0.0,1908-04-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,803,0,1908,1911,2005776,2005776.0,1.0,0.0016452485222676909,0.0,0.0,0.0,0.0,0.0029794259578337762,0.0,0.0,0.0,0.0029794259578337762,Canada,CAN,1910,0.0,1
Disaster,Natural,Meteorological - Hydrological,Flood,Chester NB,NB,1909-01-04 00:00:00,1.0,0.0,0.0,0.0,0.0,1909-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,802,0,1909,1911,351889,351889.0,1.0,0.0002841805228353259,0.0,0.0,0.0,0.0,0.0005146303521849219,0.0,0.0,0.0,0.0005146303521849219,Canada,CAN,1910,0.0,1
Disaster,Natural,Geological,Landslide,Burnaby and New Westminster BC,BC,1909-11-28 00:00:00,22.0,15.0,0.0,0.0,0.0,1909-11-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,801,0,1909,1911,392480,392480.0,1.0,0.005605381165919282,0.003821850794944965,0.0,0.0,0.0,0.010150939461883408,0.00017302737719119442,0.0,0.0,0.010323966839074602,Canada,CAN,1910,0.0,1
Disaster,Natural,Meteorological - Hydrological,Avalanche,Rogers Pass BC,BC,1910-03-05 00:00:00,62.0,0.0,0.0,0.0,0.0,1910-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single,799,0,1910,1911,392480,392480.0,1.0,0.015796983285772524,0.0,0.0,0.0,0.0,0.028607193028944156,0.0,0.0,0.0,0.028607193028944156,Canada,CAN,1910,0.0,1
