year,Alberta_population,British_Columbia_population,Manitoba_population,New_Brunswick_population,Newfoundland_and_Labrador_population,Northwest_Territories_population_x,Nova_Scotia_population,Northwest_Territories_population_y,Ontario_population,Prince_Edward_Island_population,Quebec_population,Saskatchewan_population,Yukon_population
1901,73022,178657,255211,331120,220984,20129,459574,20129,2182947,103259,1648898,91279,27219
1911,374295,392480,461394,351889,242619,6507,492338,6507,2527292,93728,2005776,492432,8512
1921,588454,524582,610118,387876,263033,8143,523837,8143,2933662,88615,2360665,757510,4157
1931,731605,694263,700139,408219,289588,9316,512846,9316,3431683,88038,2874255,921785,4230
1941,796169,817861,729744,457401,321819,12028,577962,12028,3787655,95047,3331882,895992,4914
1951,939501,1165210,776541,515697,361416,16004,642584,16004,4597542,98429,4055681,831728,9096
1956,1123116,1398464,850040,554616,415074,19313,694717,19313,5404933,99285,4628378,880665,12190
1961,1331944,1629082,921686,597936,457853,22998,737007,22998,6236092,104629,5259211,925181,14628
1971,1627875,2184620,988245,634560,6507,34805,788965,34805,7703105,111635,6027765,926242,18390
1976,1838035,2466610,1021505,677250,557720,42610,828570,42610,8264465,118225,6234445,921325,21835
1981,2237724,2744467,1026241,696403,567681,45740,847442,45740,8625107,122506,6438403,968313,23150
1986,2365830,2883370,1063015,709445,568350,52235,873175,52235,9101695,126640,6532460,1009613,23505
1991,2545553,3282061,1091942,723900,568475,57649,899942,57649,10084885,129765,6895963,988928,27797
1996,2696826,3724500,1113898,738133,551790,64402,909282,64402,10753573,134557,7138795,976615,30766
2001,2974807,3907738,1119583,729498,512930,37360,908007,37360,11410046,135294,7237479,978933,28674
2006,3290350,4113487,1148401,729997,505469,41464,913462,41464,12160282,138581,7546131,985386,30372
2011,3645257,4400057,1208268,751171,514536,41462,921727,41462,12851821,140204,7903001,1053960,33897
